File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
1a96328e-49a7-4655-abcd-d463138f457f	033fbcc1-7984-4946-ba49-cd58bb641b0b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-FB-AAPQ	TCGA-FB-AAPQ-01A	Primary Tumor
ce1b2f4c-4a19-4529-9a05-4212ac140ebb	7d5d4419-5c0d-4f23-9463-04df885a4c52.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-FB-AAPZ	TCGA-FB-AAPZ-01A	Primary Tumor
0e23faa2-0df2-4140-aec5-ba8e840844ea	feec3523-951e-4541-8664-2a71adfdecb5.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-IB-A7LX	TCGA-IB-A7LX-01A	Primary Tumor
7e1b5fe0-34c4-4144-9964-0f16e904dad0	ea6626d3-7799-4481-b545-f78988ed5ece.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-3A-A9J0	TCGA-3A-A9J0-01A	Primary Tumor
f54820a6-a987-4c81-a888-ac9ca590d4a7	f658fea2-ce6f-446d-8c62-8649e7d25749.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-IB-AAUP	TCGA-IB-AAUP-01A	Primary Tumor
0c098157-254b-492b-ad08-54cf813814d9	0c7c39b2-e01c-4df4-bfce-abae7985ef79.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-FB-AAPY	TCGA-FB-AAPY-01A	Primary Tumor
7ca10400-9647-4766-98bf-b5c8130346d0	a66b9c55-0fcb-4a4b-a470-ce31ab62f91c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-3A-A9IU	TCGA-3A-A9IU-01A	Primary Tumor
3f69c795-598c-491f-b4ae-3812a974daa3	153621f4-18e1-42fd-bcaf-4f256975eda6.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-IB-AAUU	TCGA-IB-AAUU-01A	Primary Tumor
6604da06-00ac-4894-92c6-4a7c0b48acd3	e1f5eba9-3575-499e-bd32-1f9d7e8c9d6a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-YB-A89D	TCGA-YB-A89D-11A	Solid Tissue Normal
786ce56f-1b04-4941-a9ea-5722715d42f2	78b8fd46-5fe7-4d59-8619-ed4b4a8ff5d2.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-IB-AAUQ	TCGA-IB-AAUQ-01A	Primary Tumor
3386c8d6-43ac-4149-ae83-d6f479bad39a	7fc44145-9e29-4f03-b15a-0d07482aaa9c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-IB-7886	TCGA-IB-7886-01A	Primary Tumor
124ae6a1-e656-4f54-84b2-0df788351384	3330751a-3bbb-4e63-9ae1-07112711cdb4.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-IB-7646	TCGA-IB-7646-01A	Primary Tumor
a3b1025f-76a9-4088-a465-0bd3c8ab1193	d5d84944-9118-4024-916e-130345b1d88a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-OE-A75W	TCGA-OE-A75W-01A	Primary Tumor
245632c2-f70b-4b31-b4b4-81ff6a860bc4	90fe6068-0176-4cf8-9fd0-a5eb8d2cc090.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-HZ-A8P0	TCGA-HZ-A8P0-01A	Primary Tumor
d8ee313b-643a-42fc-998f-95a7e27ee107	1fbbda1c-5972-4a55-bbce-99531a213fdb.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-IB-A6UG	TCGA-IB-A6UG-01A	Primary Tumor
90321946-18e9-4ebb-9412-2b7b4bb7b1e4	9ed859cc-42db-41aa-bda0-3248de0d84d4.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-RB-AA9M	TCGA-RB-AA9M-01A	Primary Tumor
c5b35b34-cf5e-4168-8aec-79a7df72da0e	5d3aa278-9953-4280-a365-5fd092511fe0.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-US-A77G	TCGA-US-A77G-01A	Primary Tumor
8e33355f-179c-4184-a333-ca1f70978744	66334760-e2e2-4068-84f2-ce49ecd473cb.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-IB-7647	TCGA-IB-7647-01A	Primary Tumor
df5a3f1d-5206-4318-a62b-39f221a4cd08	c9b38300-fa2c-435e-a529-1fb457355e64.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-YB-A89D	TCGA-YB-A89D-01A	Primary Tumor
2b89b4e4-a150-44cb-b533-4d55272841d6	13dbd84c-b0da-45bc-8c6a-8e215672b157.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-FB-AAPP	TCGA-FB-AAPP-01A	Primary Tumor
c5f8609e-0a71-47ae-a0b3-1f84ebe797d4	7f20cdf2-1e08-4e57-bbf4-bbc917b5a513.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-3E-AAAY	TCGA-3E-AAAY-01A	Primary Tumor
739472cc-a30d-4e46-93cc-5ae08eb39f0a	afa6c687-a940-4482-8c76-4683dc9b3a6d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-HZ-7925	TCGA-HZ-7925-01A	Primary Tumor
87e328c3-6376-40f1-9305-b2ec852d81d2	68559fae-166e-41ce-be48-cd98d17f8777.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-IB-AAUM	TCGA-IB-AAUM-01A	Primary Tumor
6bda9845-af73-46b2-88fc-c02aadc99ee9	f98d97db-fc5e-47e5-adce-3890392eea75.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-IB-AAUR	TCGA-IB-AAUR-01A	Primary Tumor
9eaf1f4e-dd4e-4a8d-a5a2-c1763191faf5	d92e1164-75df-4944-a8cb-807faee74571.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-S4-A8RM	TCGA-S4-A8RM-01A	Primary Tumor
f8ed2164-dbe4-4eb7-a7c6-c123e911e50a	67be661f-1fa8-4d83-aca3-1d7869aa1ac2.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-3A-A9I9	TCGA-3A-A9I9-01A	Primary Tumor
